"","artist","album","track_title","track_n","line","word"
"1","Taylor Swift","Taylor Swift","Tim McGraw",1,1,"he"
"2","Taylor Swift","Taylor Swift","Tim McGraw",1,1,"said"
"3","Taylor Swift","Taylor Swift","Tim McGraw",1,1,"the"
"4","Taylor Swift","Taylor Swift","Tim McGraw",1,1,"way"
"5","Taylor Swift","Taylor Swift","Tim McGraw",1,1,"my"
"6","Taylor Swift","Taylor Swift","Tim McGraw",1,1,"blue"
"7","Taylor Swift","Taylor Swift","Tim McGraw",1,1,"eyes"
"8","Taylor Swift","Taylor Swift","Tim McGraw",1,1,"shined"
"9","Taylor Swift","Taylor Swift","Tim McGraw",1,2,"put"
"10","Taylor Swift","Taylor Swift","Tim McGraw",1,2,"those"
"11","Taylor Swift","Taylor Swift","Tim McGraw",1,2,"georgia"
"12","Taylor Swift","Taylor Swift","Tim McGraw",1,2,"stars"
"13","Taylor Swift","Taylor Swift","Tim McGraw",1,2,"to"
"14","Taylor Swift","Taylor Swift","Tim McGraw",1,2,"shame"
"15","Taylor Swift","Taylor Swift","Tim McGraw",1,2,"that"
"16","Taylor Swift","Taylor Swift","Tim McGraw",1,2,"night"
"17","Taylor Swift","Taylor Swift","Tim McGraw",1,3,"i"
"18","Taylor Swift","Taylor Swift","Tim McGraw",1,3,"said"
"19","Taylor Swift","Taylor Swift","Tim McGraw",1,3,"that's"
"20","Taylor Swift","Taylor Swift","Tim McGraw",1,3,"a"
"21","Taylor Swift","Taylor Swift","Tim McGraw",1,3,"lie"
"22","Taylor Swift","Taylor Swift","Tim McGraw",1,4,"just"
"23","Taylor Swift","Taylor Swift","Tim McGraw",1,4,"a"
"24","Taylor Swift","Taylor Swift","Tim McGraw",1,4,"boy"
"25","Taylor Swift","Taylor Swift","Tim McGraw",1,4,"in"
"26","Taylor Swift","Taylor Swift","Tim McGraw",1,4,"a"
"27","Taylor Swift","Taylor Swift","Tim McGraw",1,4,"chevy"
"28","Taylor Swift","Taylor Swift","Tim McGraw",1,4,"truck"
"29","Taylor Swift","Taylor Swift","Tim McGraw",1,5,"that"
"30","Taylor Swift","Taylor Swift","Tim McGraw",1,5,"had"
"31","Taylor Swift","Taylor Swift","Tim McGraw",1,5,"a"
"32","Taylor Swift","Taylor Swift","Tim McGraw",1,5,"tendency"
"33","Taylor Swift","Taylor Swift","Tim McGraw",1,5,"of"
"34","Taylor Swift","Taylor Swift","Tim McGraw",1,5,"gettin"
"35","Taylor Swift","Taylor Swift","Tim McGraw",1,5,"stuck"
"36","Taylor Swift","Taylor Swift","Tim McGraw",1,6,"on"
"37","Taylor Swift","Taylor Swift","Tim McGraw",1,6,"backroads"
"38","Taylor Swift","Taylor Swift","Tim McGraw",1,6,"at"
"39","Taylor Swift","Taylor Swift","Tim McGraw",1,6,"night"
"40","Taylor Swift","Taylor Swift","Tim McGraw",1,7,"and"
"41","Taylor Swift","Taylor Swift","Tim McGraw",1,7,"i"
"42","Taylor Swift","Taylor Swift","Tim McGraw",1,7,"was"
"43","Taylor Swift","Taylor Swift","Tim McGraw",1,7,"right"
"44","Taylor Swift","Taylor Swift","Tim McGraw",1,7,"there"
"45","Taylor Swift","Taylor Swift","Tim McGraw",1,7,"beside"
"46","Taylor Swift","Taylor Swift","Tim McGraw",1,7,"him"
"47","Taylor Swift","Taylor Swift","Tim McGraw",1,7,"all"
"48","Taylor Swift","Taylor Swift","Tim McGraw",1,7,"summer"
"49","Taylor Swift","Taylor Swift","Tim McGraw",1,7,"long"
"50","Taylor Swift","Taylor Swift","Tim McGraw",1,8,"and"
"51","Taylor Swift","Taylor Swift","Tim McGraw",1,8,"then"
"52","Taylor Swift","Taylor Swift","Tim McGraw",1,8,"the"
"53","Taylor Swift","Taylor Swift","Tim McGraw",1,8,"time"
"54","Taylor Swift","Taylor Swift","Tim McGraw",1,8,"we"
"55","Taylor Swift","Taylor Swift","Tim McGraw",1,8,"woke"
"56","Taylor Swift","Taylor Swift","Tim McGraw",1,8,"up"
"57","Taylor Swift","Taylor Swift","Tim McGraw",1,8,"to"
"58","Taylor Swift","Taylor Swift","Tim McGraw",1,8,"find"
"59","Taylor Swift","Taylor Swift","Tim McGraw",1,8,"that"
"60","Taylor Swift","Taylor Swift","Tim McGraw",1,8,"summer"
"61","Taylor Swift","Taylor Swift","Tim McGraw",1,8,"gone"
"62","Taylor Swift","Taylor Swift","Tim McGraw",1,9,"but"
"63","Taylor Swift","Taylor Swift","Tim McGraw",1,9,"when"
"64","Taylor Swift","Taylor Swift","Tim McGraw",1,9,"you"
"65","Taylor Swift","Taylor Swift","Tim McGraw",1,9,"think"
"66","Taylor Swift","Taylor Swift","Tim McGraw",1,9,"tim"
"67","Taylor Swift","Taylor Swift","Tim McGraw",1,9,"mcgraw"
"68","Taylor Swift","Taylor Swift","Tim McGraw",1,10,"i"
"69","Taylor Swift","Taylor Swift","Tim McGraw",1,10,"hope"
"70","Taylor Swift","Taylor Swift","Tim McGraw",1,10,"you"
"71","Taylor Swift","Taylor Swift","Tim McGraw",1,10,"think"
"72","Taylor Swift","Taylor Swift","Tim McGraw",1,10,"my"
"73","Taylor Swift","Taylor Swift","Tim McGraw",1,10,"favorite"
"74","Taylor Swift","Taylor Swift","Tim McGraw",1,10,"song"
"75","Taylor Swift","Taylor Swift","Tim McGraw",1,11,"the"
"76","Taylor Swift","Taylor Swift","Tim McGraw",1,11,"one"
"77","Taylor Swift","Taylor Swift","Tim McGraw",1,11,"we"
"78","Taylor Swift","Taylor Swift","Tim McGraw",1,11,"danced"
"79","Taylor Swift","Taylor Swift","Tim McGraw",1,11,"to"
